271.969,-33.8,0.03
272.812,-33.8,0.07
273.815,-33.8,0.06
274.817,-33.8,0.17
275.809,-33.8,0.22
277.0,-33.8,0.08
277.813,-33.8,0.19
278.784,-33.8,0.29
279.827,-33.8,0.34
280.765,-33.8,0.27
281.956,-33.8,0.26
282.805,-33.8,0.23
283.811,-33.8,0.12
284.826,-33.8,0.48
285.817,-33.8,0.19
286.969,-33.8,0.21
287.815,-33.8,0.06
288.719,-33.9,0.06
289.805,-33.9,0.19
290.809,-33.9,0.3
291.971,-33.9,0.03
293.109,-33.9,0.31
294.142,-33.9,0.39
295.149,-33.9,0.41
296.104,-33.9,0.43
297.325,-33.9,0.49
298.105,-33.9,0.66
299.008,-34.0,0.66
300.068,-34.0,0.89
301.078,-34.2,0.93
301.994,-34.3,0.93
302.281,-34.3,1.16
302.986,-34.4,1.16
304.142,-34.4,1.29
305.017,-34.7,1.29
306.112,-34.7,1.21
307.063,-34.8,1.21
307.358,-34.8,9.46
308.008,-34.9,9.46
309.057,-34.9,11.73
310.037,-34.8,11.73
310.986,-35.0,11.73
312.112,-35.2,11.73
313.135,-35.8,0.35
314.003,-36.2,0.35
315.119,-36.2,0.13
316.044,-37.1,0.13
317.268,-37.1,0.25
318.04,-37.6,0.25
319.091,-37.6,0.23
319.986,-38.0,0.23
321.062,-38.0,0.04
322.004,-38.4,0.04
322.311,-38.4,0.05
322.988,-38.5,0.05
324.083,-38.5,0.13
324.98,-38.8,0.13
326.102,-38.8,0.09
327.03,-38.9,0.09
328.151,-38.9,0.42
